"id","name","price","category"
"1001","Ray-Ban Sunglasses Classic","87","Moda"
"1002","Tefal Easy Fry","488","Cocina"
"1003","Poco X5","1236","ElectrÃ³nica"
"1004","OnePlus 11","485","Otros"
"1005","Google Pixel 7","833","ElectrÃ³nica"
"1006","KitchenAid Artisan Mixer","87","Cocina"
"1007","Nike Running Shoes","347","Otros"
"1008","OnePlus 11","1178","ElectrÃ³nica"
"1009","Samsung Galaxy Tab S8","610","ElectrÃ³nica"
"1010","Apple iPhone 14 Pro","958","ElectrÃ³nica"
"1011","Microsoft Surface Pro","95","Oficina"
"1012","Microsoft Surface Go","570","Oficina"
"1013","Apple iPad Air 5","536","ElectrÃ³nica"
"1014","Logitech MX Keys","553","Otros"
"1015","Dell UltraSharp 27","398","Oficina"
"1016","Samsung Galaxy S22","619","ElectrÃ³nica"
"1017","Bosch Trimmer","83","Otros"
"1018","Poco F4","883","ElectrÃ³nica"
"1019","Samsung Galaxy S22","1114","ElectrÃ³nica"
"1020","Tefal Easy Fry","205","Cocina"
"1021","Tefal Easy Fry","483","Cocina"
"1022","Philips Hue White Lamp","70","Otros"
"1023","Bosch Trimmer","175","JardÃ­n"
"1024","KitchenAid Artisan Mixer","78","Cocina"
"1025","Ray-Ban Sunglasses Classic","55","Moda"
"1026","IKEA LAMPAN TABLE","292","Hogar"
"1027","IKEA LAMPAN TABLE","316","Hogar"
"1028","Xiaomi Mi Smart LED","60","Hogar"
"1029","Zara Leather Bag","55","Moda"
"1030","Bosch Licuadora Pro","183","Cocina"
"1031","Philips SlowJuicer","315","Cocina"
"1032","Xiaomi Mi Smart LED","121","Hogar"
"1033","Zara Leather Bag","50","Moda"
"1034","Apple AirPods Pro","76","Accesorios"
"1035","Poco X5","627","ElectrÃ³nica"
"1036","Samsung Galaxy Buds2","123","Accesorios"
"1037","HP EliteBook","145","Oficina"
"1038","Samsung Galaxy Tab S8","1213","ElectrÃ³nica"
"1039","Poco X5","1175","Otros"
"1040","Google Pixel 6a","959","Otros"
"1041","Gardena Hose Set","380","Otros"
"1042","Bosch Angle Grinder","389","Herramientas"
"1043","Makita Cordless Drill","95","Herramientas"
"1044","Adidas Tiro Shorts","379","Deportes"
"1045","Adidas Tiro Shorts","116","Deportes"
"1046","Nike Sports Socks","103","Moda"
"1047","Ray-Ban Sunglasses Classic","143","Moda"
"1048","Bosch Angle Grinder","127","Otros"
"1049","Poco X5","1167","Otros"
"1050","Dell Inspiron 15","395","Otros"
"1051","Adidas Ultraboost","280","Otros"
"1052","Dell UltraSharp 27","317","Oficina"
"1053","Google Pixel 6a","1158","ElectrÃ³nica"
"1054","OnePlus 11","1147","ElectrÃ³nica"
"1055","Poco X5","1098","ElectrÃ³nica"
"1056","Samsung Galaxy S22","812","ElectrÃ³nica"
